# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
 61 Vir d: nan nan 22.900 0.4760 123.01000 381.9 1
>7 CMa: 99.1712760 -19.2561808 1.564 4.870 1.340 4826.0 3.19 0.21
 7 CMa b: nan nan 587.986 1.7580 735.10000 387.3 1
 7 CMa c: nan nan 276.512 2.1530 996.00000 350.0 1
>70 Vir: 202.1064898 13.7763085 3.500 1.890 1.090 5495.0 3.95 -0.01
 70 Vir b: nan nan 2357.027 0.4810 116.68800 525.2 1
>75 Cet: 38.0391598 -1.0350269 3.207 10.380 1.920 4809.0 2.69 0.10
 75 Cet b: nan nan 787.897 1.9120 696.62000 540.3 1
 75 Cet c: nan nan 289.860 3.9290 2051.62000 376.9 1
>8 UMi: 224.2016850 74.9009379 4.515 10.300 1.440 4847.0 2.57 -0.03
 8 UMi b: nan nan 416.357 0.4900 93.40000 1071.6 1
>81 Cet: 39.4243555 -3.3963607 3.266 11.210 1.230 4734.0 2.41 -0.11
 81 Cet b: nan nan 1051.059 2.1040 1005.57000 526.9 1
>91 Aqr: 348.9745031 -9.0878076 1.597 11.000 1.400 4665.0 2.52 -0.03
 91 Aqr b: nan nan 1017.000 0.7000 181.40000 891.7 1
>AB Aur: 73.9410446 30.5510888 4.230 nan 2.400 9770.0 nan nan
 AB Aur b: nan nan 2860.456 93.9000 214526.69991 nan 0
>AB Pic: 94.8039208 -58.0541184 6.981 nan nan nan nan nan
 AB Pic b: nan nan 4290.500 260.0000 nan nan 0
>AF Lep: 81.7699216 -11.9011752 4.926 1.250 1.200 6130.0 4.40 0.19
 AF Lep b: nan nan 1017.051 8.4000 8030.00000 114.0 0
>AU Mic: 311.2911369 -31.3424500 4.529 0.740 0.510 3678.0 4.40 0.23
 AU Mic b: 3.493 3.957 57.209 0.0649 8.46308 598.9 0
 AU Mic c: 4.236 2.522 14.200 0.1108 18.85969 458.3 0
 AU Mic d: nan nan 1.053 0.0853 12.73596 522.5 0
>BD+03 2562: 177.5647268 2.7601075 6.021 32.350 1.140 4095.0 1.89 -0.71
 BD+03 2562 b: nan nan 2034.112 1.3000 481.90000 985.0 1
>BD+14 4559: 318.4010002 14.6893834 7.336 0.860 0.490 4864.0 4.26 0.17
 BD+14 4559 b: nan nan 330.543 0.7800 268.94000 246.3 1
>BD+15 2375: 176.4820239 14.6163182 7.718 8.950 1.080 4649.0 2.61 -0.22
 BD+15 2375 b: nan nan 337.218 0.5760 153.22000 883.7 1
>BD+15 2940: 240.0956400 15.5467507 6.525 14.700 1.100 4796.0 2.80 0.28
 BD+15 2940 b: nan nan 352.780 0.5390 137.48000 1207.7 1
>BD+20 2457: 154.1867820 19.8912626 6.420 49.000 2.800 4137.0 1.51 -1.00
 BD+20 2457 b: nan nan 6807.630 1.4500 379.63000 1159.7 1
 BD+20 2457 c: nan nan 3963.170 2.0100 621.99000 985.0 1
>BD+20 274: 25.9203179 21.0052692 6.169 17.300 0.800 4296.0 1.99 -0.46
 BD+20 274 b: nan nan 1334.886 1.3000 578.20000 755.7 1
>BD+20 594: 53.6511231 20.5990205 9.368 1.080 1.670 5766.0 4.50 -0.15
 BD+20 594 b: nan 2.578 22.248 0.2803 41.68550 545.8 0
>BD+45 564: 32.9470485 45.9242187 7.557 nan 0.810 5004.0 4.22 -0.09
 BD+45 564 b: nan nan 432.247 0.8300 307.88000 nan 1
>BD+48 738: 40.7102869 49.5869395 5.904 11.000 0.740 4414.0 2.24 -0.20
 BD+48 738 b: nan nan 289.225 1.0000 392.60000 705.9 1
>BD+48 740: 40.7425426 48.9300579 5.645 10.330 1.090 4534.0 2.48 -0.13
 BD+48 740 b: nan nan 540.311 1.7000 733.00000 538.9 1
>BD+49 828: 45.6406187 49.7299481 6.571 7.600 1.520 4943.0 2.85 -0.19
 BD+49 828 b: nan nan 508.500 4.2000 2590.00000 320.6 1
>BD+55 362: 23.9636676 56.6982282 7.331 nan 0.910 5012.0 4.09 0.18
 BD+55 362 b: nan nan 228.836 0.7800 265.59000 nan 1
>BD+60 1417: 190.8875453 60.0143636 7.288 0.800 1.000 4993.0 4.55 nan
 BD+60 1417 b: nan 14.684 4767.426 1662.0000 24747715.43773 5.3 0
>BD+63 1405: 271.3979337 63.6700064 6.780 nan 0.820 5000.0 4.20 -0.09
 BD+63 1405 b: nan nan 1258.600 2.0600 1198.48000 nan 1
>BD-06 1339: 88.2511811 -5.9963378 6.305 nan 0.700 4324.0 4.74 -0.14
 BD-06 1339 b: nan nan 8.500 0.0428 3.87280 nan 1
 BD-06 1339 c: nan nan 53.000 0.4350 125.94000 nan 1
>BD-08 2823: 150.1971964 -9.5165689 7.323 0.710 0.500 4816.0 4.43 -0.06
 BD-08 2823 b: nan nan 12.713 0.0600 5.60000 798.9 1
 BD-08 2823 c: nan nan 104.000 0.6800 237.60000 237.3 1
>BD-10 3166: 164.6191243 -10.7704227 8.124 0.910 1.470 5393.0 4.69 0.38
 BD-10 3166 b: nan nan 187.520 0.0400 3.48777 1240.4 1
>BD-11 4672: 278.3688659 -11.6370481 6.867 0.640 0.650 4550.0 4.64 -0.35
 BD-11 4672 b: nan nan 206.589 2.3600 1634.00000 114.3 1
 BD-11 4672 c: nan nan 15.370 0.3000 74.20000 320.5 1
>BD-13 2130: 114.2884692 -13.9066703 7.151 19.170 2.120 4545.0 2.20 -0.08
 BD-13 2130 b: nan nan 3108.377 1.6600 714.29999 744.8 1
>BD-14 3065 A: 153.6696689 -15.6428372 9.932 2.350 1.410 6935.0 3.85 -0.34
 BD-14 3065 b: 3.086 21.590 3932.000 0.0656 4.28897 2001.5 0
>BD-17 63: 7.1413494 -16.2273254 6.914 0.738 0.740 4665.0 4.19 0.01
 BD-17 63 b: nan nan 1639.995 1.3359 655.57000 167.2 0
>BD-210397: 33.3024198 -21.1962147 6.504 0.750 0.690 4051.0 4.67 0.12
 BD-210397 b: nan nan 214.000 2.6300 1891.00000 104.3 1
 BD-210397 c: nan nan 1525.576 5.9000 6240.00000 69.6 0
>Barnard's star: 269.4486144 4.7379808 4.524 0.180 0.160 3195.0 4.90 -0.56
 Barnard b: nan nan 0.370 0.0229 3.15330 431.6 1
>CD Cet: 48.3530155 4.7751881 7.833 0.170 0.160 3130.0 4.93 0.13
 CD Cet b: nan nan 3.950 0.0185 2.29070 457.5 1
>CFBDSIR J145829+101343: 224.6208333 10.2286111 nan nan 0.020 580.5 4.72 nan
 CFBDSIR J145829+101343 b: nan nan 3337.100 2.6000 10037.50000 nan 0
>CFHTWIR-Oph 98 A: 246.9342770 -23.9811500 14.593 0.240 0.010 2320.0 3.85 nan
 CFHTWIR-Oph 98 b: nan 20.849 2479.062 200.0000 8040000.00000 3.9 0
>CHXR 73: 166.6193985 -77.6258725 10.703 nan 0.350 nan nan nan
 CHXR 73 b: nan nan 3994.486 210.0000 1878812.77446 nan 0
>CI Tau: 68.4667685 22.8416192 7.793 nan 1.032 nan nan nan
 CI Tau c: nan nan 1144.182 0.1700 25.20000 nan 1
>COCONUTS-2 A: 117.3009140 -76.7026960 6.579 0.390 0.370 3406.0 4.83 0.00
 COCONUTS-2 b: nan 12.442 2542.627 7506.0000 390481589.53821 1.2 0
>CT Cha: 166.0375038 -76.4553693 8.661 nan nan nan nan nan
 CT Cha b: nan 24.660 5403.000 440.0000 nan nan 0
>CoRoT-1: 102.0798591 -3.1021394 12.149 1.110 0.950 5950.0 4.25 -0.30
 CoRoT-1 b: 2.373 16.700 327.350 0.0254 1.50896 1896.8 0
>CoRoT-10: 291.0636813 0.7460143 11.782 0.790 0.890 5075.0 4.65 0.26
 CoRoT-10 b: 2.980 10.870 874.000 0.1055 13.24060 669.7 0
>CoRoT-11: 280.6872998 5.9376586 11.248 1.370 1.270 6440.0 4.22 -0.03
 CoRoT-11 b: 2.501 16.030 740.510 0.0436 2.99433 1740.7 0
>CoRoT-12: 100.7656871 -1.2964437 13.557 1.120 1.080 5675.0 4.38 0.16
 CoRoT-12 b: 2.574 16.140 291.438 0.0402 2.82804 1445.1 0
>CoRoT-13: 102.7211432 -5.0864557 13.376 1.010 1.090 5945.0 4.46 0.01
 CoRoT-13 b: 3.140 9.920 415.704 0.0510 4.03519 1275.7 0
>CoRoT-14: 103.4242023 -5.5360385 13.806 1.210 1.130 6035.0 4.35 0.05
 CoRoT-14 b: 1.662 12.220 2415.400 0.0270 1.51214 1948.1 0
>CoRoT-16: 278.5246658 -6.0026026 12.847 1.190 1.100 5650.0 4.36 0.19
 CoRoT-16 b: 2.390 13.110 170.032 0.0618 5.35227 1195.5 0
>CoRoT-17: 278.6992360 -6.6122880 12.472 1.590 1.040 5740.0 4.40 0.00
 CoRoT-17 b: 4.720 11.430 772.290 0.0461 3.76810 1625.5 0
>CoRoT-18: 98.1724172 -0.0316045 13.014 1.000 0.950 5440.0 4.40 -0.10
 CoRoT-18 b: 2.387 14.680 1102.820 0.0295 1.90007 1527.3 0
>CoRoT-19: 97.0335983 -0.1707293 11.837 1.650 1.210 6090.0 4.07 -0.02
 CoRoT-19 b: 4.700 14.460 352.780 0.0518 3.89713 1657.4 0
>CoRoT-2: 291.7770457 1.3836634 10.310 0.910 0.960 5625.0 4.30 0.00
 CoRoT-2 b: 2.267 16.432 1102.820 0.0280 1.74299 1546.9 0
>CoRoT-20: 97.7204249 0.2268931 12.513 1.021 1.140 5880.0 4.20 0.14
 CoRoT-20 b: 2.225 9.379 1366.669 0.0900 9.24285 955.1 0
 CoRoT-20 c: nan nan 5403.110 2.9000 1675.00000 168.3 1
>CoRoT-21: 101.0526207 -0.2991544 13.813 1.950 1.290 6200.0 3.70 0.00
 CoRoT-21 b: 4.760 14.572 718.296 0.0417 2.72474 2044.4 0
>CoRoT-22: 280.6671392 6.2191669 11.988 1.140 1.100 5939.0 4.36 0.17
 CoRoT-22 b: 4.492 4.880 12.200 0.0920 9.75598 1008.1 0
>CoRoT-23: 279.7826586 4.3577516 12.364 1.610 1.140 5900.0 4.30 0.05
 CoRoT-23 b: 3.888 11.770 889.900 0.0480 3.63130 1647.7 0
>CoRoT-24: 101.9225430 -3.7192892 12.924 0.860 0.910 4950.0 4.55 0.30
 CoRoT-24 b: 2.850 3.700 5.700 0.0560 5.11340 935.4 0
 CoRoT-24 c: 4.800 5.000 28.000 0.0980 11.75900 707.1 0
>CoRoT-25: 280.6296561 6.5138223 12.846 1.190 1.090 6040.0 4.31 -0.01
 CoRoT-25 b: 1.920 12.110 85.810 0.0578 4.86069 1321.5 0
>CoRoT-26: 279.7504991 6.9697828 13.261 1.790 1.090 5590.0 3.99 0.01
 CoRoT-26 b: 5.470 14.120 165.260 0.0526 4.20474 1572.5 0
>CoRoT-27: 278.4958319 5.5383811 12.985 1.080 1.050 5900.0 4.40 -0.10
 CoRoT-27 b: 2.770 11.287 3302.110 0.0476 3.57532 1355.2 0
>CoRoT-28: 278.6883216 5.5736911 11.032 1.780 1.010 5150.0 3.60 0.15
 CoRoT-28 b: 5.700 10.705 153.830 0.0603 5.20851 1349.2 0
>CoRoT-29: 278.9020691 6.4795703 13.048 0.900 0.970 5260.0 4.30 0.20
 CoRoT-29 b: 2.190 10.088 270.156 0.0386 2.85057 1224.7 0
>CoRoT-3: 292.0552827 0.1218359 11.618 1.560 1.370 6740.0 4.22 0.14
 CoRoT-3 b: 3.384 11.320 6883.910 0.0566 4.25680 1706.5 0
>CoRoT-30: 277.6011767 6.8359338 13.562 0.910 0.980 5650.0 4.40 0.02
 CoRoT-30 b: nan 11.310 921.707 0.0844 9.06005 894.6 0
>CoRoT-31: 94.8207350 -4.4222978 13.426 2.150 1.250 5700.0 3.85 0.00
 CoRoT-31 b: nan 16.365 266.977 0.0586 4.62941 1664.9 0
>CoRoT-35: 289.3143526 -2.7747085 12.935 1.650 1.010 6390.0 4.01 -0.50
 CoRoT-35 b: 4.190 18.831 349.611 0.0429 3.22748 1910.9 0
>CoRoT-36: 277.7510149 7.1833465 11.592 1.520 1.320 6730.0 4.16 -0.10
 CoRoT-36 b: 4.980 15.805 216.123 0.0660 5.61653 1557.4 0
>CoRoT-4: 102.1946233 -0.6727861 12.288 1.170 1.160 6190.0 4.41 0.05
 CoRoT-4 b: 4.432 13.340 228.830 0.0900 9.20205 1076.2 0
>CoRoT-5: 101.2772396 0.8152163 12.546 1.190 1.000 6100.0 4.19 -0.25
 CoRoT-5 b: 2.933 15.558 148.420 0.0495 4.03790 1442.7 0
>CoRoT-6: 281.0725563 6.6632062 12.119 1.020 1.050 6090.0 4.43 -0.20
 CoRoT-6 b: 4.080 13.068 940.740 0.0855 8.88659 1014.3 0
