# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>K2-6: 178.1921152 -1.1984418 11.069 0.960 0.970 5850.0 4.40 -0.14
 K2-6 b: 5.280 2.500 nan 0.1898 30.94191 634.4 0
>K2-60: 338.6062312 -13.7318044 10.993 1.120 0.970 5500.0 4.07 0.01
 K2-60 b: 3.080 7.656 135.396 0.0450 3.00265 1323.1 0
>K2-61: 339.6748444 -13.5600447 11.385 1.360 1.210 6293.0 4.25 0.17
 K2-61 b: 2.330 2.480 nan 0.0392 2.57302 1787.4 0
>K2-62: 334.3645089 -12.1874776 9.688 0.730 0.770 4880.0 4.60 -0.29
 K2-62 b: 1.410 2.140 nan 0.0636 6.67202 797.2 0
 K2-62 c: 1.290 2.140 nan 0.1148 16.19660 593.4 0
>K2-63: 333.4267738 -12.0663429 11.274 1.630 1.400 6771.0 4.15 nan
 K2-63 b: 5.490 3.220 nan 0.1627 20.25700 1033.4 0
 K2-63 c: 4.240 3.900 nan 0.1890 25.45560 958.8 0
>K2-64: 332.4138478 -11.4286687 12.201 0.730 0.740 5312.0 4.58 nan
 K2-64 b: 3.060 2.070 nan 0.0619 6.53044 879.6 0
>K2-65: 333.2125206 -10.9261373 8.344 0.840 0.870 5213.0 4.53 -0.34
 K2-65 b: 3.430 1.580 nan 0.1014 12.64750 723.5 0
>K2-66: 331.5266563 -10.7115362 10.609 1.670 1.110 5887.0 4.03 -0.05
 K2-66 b: 4.710 2.490 21.300 0.0598 5.06963 1499.8 0
>K2-68: 334.0195539 -10.5673649 10.530 0.680 0.730 4746.0 4.63 -0.21
 K2-68 b: 2.720 1.580 nan 0.0708 8.05428 709.2 0
>K2-69: 335.7596816 -10.4886817 11.766 0.490 0.550 4127.0 4.79 nan
 K2-69 b: 1.620 2.320 nan 0.0591 7.06599 573.0 0
>K2-7: 167.0937488 -1.0658550 11.564 1.530 1.060 5700.0 4.09 0.05
 K2-7 b: 7.582 4.035 nan 0.1867 28.67810 786.8 0
>K2-70: 338.4759328 -10.0849917 10.853 0.930 0.940 5622.0 4.48 0.06
 K2-70 b: 3.520 2.890 nan 0.1112 13.97896 784.0 0
>K2-71: 341.7248656 -9.8816109 11.732 0.430 0.480 4006.0 4.85 nan
 K2-71 b: 1.410 2.150 nan 0.0559 6.98541 535.8 0
>K2-72: 334.6227504 -9.6120084 10.962 0.330 0.270 3360.5 5.05 nan
 K2-72 b: 1.650 1.080 nan 0.0400 5.57721 465.4 0
 K2-72 c: 2.150 1.160 nan 0.0780 15.18903 333.3 0
 K2-72 d: 1.450 1.010 nan 0.0500 7.76018 416.3 0
 K2-72 e: 2.250 1.290 nan 0.1060 24.15887 285.9 0
>K2-73: 335.0256620 -9.0560881 10.322 1.060 1.050 5922.0 4.41 0.03
 K2-73 b: 3.620 2.450 nan 0.0762 7.49543 1065.1 0
>K2-74: 339.9192984 -8.7145697 11.068 0.980 0.960 6060.0 4.44 -0.21
 K2-74 b: 5.120 2.310 nan 0.1402 19.56660 772.6 0
>K2-75: 338.8448960 -7.4698950 11.178 1.560 1.160 5995.0 4.12 0.30
 K2-75 b: 5.480 2.670 nan 0.0810 7.81420 1268.7 0
 K2-75 c: 6.420 2.770 nan 0.1429 18.31100 955.1 0
>K2-77: 55.2285210 12.5724480 9.799 0.790 0.850 5160.0 4.57 0.13
 K2-77 b: 2.544 2.500 603.877 0.0753 8.20008 805.9 0
>K2-79: 55.2559307 13.5191871 9.907 1.260 1.070 5897.0 4.25 0.04
 K2-79 b: 4.420 4.090 9.200 0.0988 10.99470 1015.5 0
>K2-8: 169.7935178 -0.2844389 12.245 0.740 0.780 4870.0 4.52 -0.02
 K2-8 b: 3.362 3.580 nan 0.0856 10.35239 690.5 0
 K2-8 c: 2.080 2.410 nan 0.0532 5.06416 875.8 0
>K2-80: 59.0374860 13.5590288 10.313 0.870 0.900 5441.0 4.52 0.07
 K2-80 b: 4.460 2.010 nan 0.1350 19.09180 666.0 0
 K2-80 c: 2.680 1.470 nan 0.0596 5.60500 1002.4 0
 K2-80 d: 4.224 2.639 nan 0.1782 28.86725 562.9 0
>K2-81: 57.4854562 14.5020556 11.316 0.630 0.750 4674.1 4.67 nan
 K2-81 b: 2.345 1.970 nan 0.0590 6.10233 736.5 0
>K2-83: 59.9013782 15.5587994 10.765 0.420 0.480 3910.0 4.86 nan
 K2-83 b: 1.664 1.244 nan 0.0301 2.74697 703.8 0
 K2-83 c: 2.770 1.483 nan 0.0713 9.99767 457.6 0
>K2-84: 55.8093566 16.6344396 11.059 0.930 0.950 5652.0 4.48 nan
 K2-84 b: 2.810 2.410 nan 0.0665 6.42150 1019.2 0
 K2-84 c: 4.610 2.030 nan 0.1768 27.86000 625.1 0
>K2-85: 59.4648290 18.4649505 9.466 0.680 2.043 4427.0 4.30 -0.36
 K2-85 b: 0.818 1.200 nan 0.0193 0.68456 1267.4 0
>K2-86: 51.5531053 18.6355718 10.927 0.760 0.790 5482.0 4.58 -0.35
 K2-86 b: 2.750 1.960 nan 0.0770 8.77683 830.5 0
>K2-87: 66.2363638 18.8273617 11.197 1.400 1.160 5747.0 4.21 0.33
 K2-87 b: 4.560 7.600 nan 0.0940 9.72662 1069.5 0
>K2-88: 54.7514566 19.1199667 11.240 0.260 0.260 3537.0 5.02 nan
 K2-88 b: 1.039 1.230 nan 0.0345 4.61220 468.2 0
>K2-89: 57.0671234 20.4594885 10.106 0.320 0.350 3691.0 4.96 nan
 K2-89 b: 0.895 0.615 nan 0.0146 1.09603 832.7 0
>K2-9: 176.2637240 0.0054085 11.495 0.310 0.300 3390.0 4.82 -0.25
 K2-9 b: 2.840 2.250 nan 0.0910 18.44980 301.7 0
>K2-90: 59.1527391 22.4724517 10.360 0.620 0.630 4484.0 4.65 -0.23
 K2-90 b: 2.952 2.600 nan 0.0960 13.73331 549.5 0
 K2-90 c: 1.303 1.267 nan 0.0350 2.90071 904.7 0
>K2-91: 63.2182348 24.2047218 10.571 0.280 0.290 3622.0 5.00 nan
 K2-91 b: 0.945 1.100 nan 0.0164 1.41955 721.7 0
>K2-95: 129.3625717 18.9766197 12.474 0.400 0.410 3566.0 4.85 0.10
 K2-95 b: 2.840 3.310 nan 0.0525 10.13465 474.6 0
>K2-97: 127.7628370 10.8475571 10.035 4.140 1.170 4673.0 3.28 0.33
 K2-97 b: 6.271 13.451 174.488 0.0854 8.40711 1568.9 0
>K2-98: 126.4882114 11.5110933 10.869 1.520 1.250 6260.0 4.17 -0.04
 K2-98 b: 5.122 5.066 34.008 0.0986 10.13673 1185.2 0
>K2-99: 208.7737624 -5.4424943 9.720 2.630 1.630 6217.0 3.81 0.21
 K2-99 b: 12.000 11.730 308.295 0.1597 18.25199 1216.6 0
>KELT-1: 0.3620995 39.3837953 9.437 1.460 1.320 6518.0 4.25 0.13
 KELT-1 b: 2.765 12.442 8654.150 0.0247 1.21751 2418.4 0
>KELT-10: 284.5483823 -47.0033072 9.338 1.210 1.110 5948.0 4.32 0.09
 KELT-10 b: 3.744 15.681 215.807 0.0525 4.16627 1376.9 0
>KELT-11: 161.7069053 -9.3993646 6.122 2.690 1.440 5375.0 3.70 0.17
 KELT-11 b: 7.138 15.132 54.349 0.0623 4.73610 1703.1 0
>KELT-12: 267.6404906 36.5701761 9.362 2.370 1.590 6279.0 3.89 0.19
 KELT-12 b: 5.762 19.952 301.938 0.0671 5.03162 1799.7 0
>KELT-14: 108.3014090 -42.4097623 9.424 1.520 1.240 5720.0 4.17 0.32
 KELT-14 b: 2.188 19.537 408.094 0.0301 1.71006 1961.7 0
>KELT-15: 117.4149764 -52.1204471 9.854 1.780 2.060 6003.0 4.17 0.05
 KELT-15 b: 4.126 19.504 416.357 0.0555 3.32944 1639.9 0
>KELT-16: 314.2685227 31.6610186 10.642 1.360 1.210 6236.0 4.25 -0.00
 KELT-16 b: 2.489 15.861 874.033 0.0204 0.96900 2452.8 0
>KELT-17: 125.6174070 13.7353093 8.646 1.650 1.640 7454.0 4.22 -0.02
 KELT-17 b: 3.475 17.094 416.357 0.0488 3.08017 2089.8 0
>KELT-18: 216.5238248 59.4442735 9.210 1.910 1.520 6670.0 4.06 0.09
 KELT-18 b: 4.644 17.598 375.039 0.0455 2.87175 2083.9 0
>KELT-19 A: 111.5095293 7.6157759 9.196 1.830 1.620 7500.0 4.13 -0.12
 KELT-19 A b: 4.394 21.409 1293.568 0.0637 4.61171 1938.4 0
>KELT-2 A: 92.6640226 30.9571333 7.346 1.930 1.540 6327.0 4.50 0.00
 KELT-2 A b: 5.172 15.132 540.311 0.0582 4.11379 1757.5 0
>KELT-20: 294.6614126 31.2192001 7.415 1.560 1.760 8720.0 4.29 -0.29
 KELT-20 b: 3.576 19.515 1074.901 0.0542 3.47411 2255.9 0
>KELT-21: 304.8000322 32.5810446 10.090 1.640 1.460 7598.0 4.17 -0.41
 KELT-21 b: 4.105 17.777 1242.715 0.0522 3.61276 2052.8 0
>KELT-23 A: 232.1466406 66.3587097 8.904 1.000 0.940 5899.0 4.42 -0.10
 KELT-23 A b: 2.381 14.830 298.125 0.0330 2.25525 1565.4 0
>KELT-24: 161.9090273 71.6557270 7.154 1.340 1.270 6426.0 4.29 0.14
 KELT-24 b: 4.303 12.711 1458.832 0.0665 5.55149 1391.0 0
>KELT-3: 148.6431193 40.3879446 8.662 1.700 1.960 6304.0 4.20 0.05
 KELT-3 b: 3.151 17.486 616.590 0.0474 2.70339 1819.8 0
>KELT-4 A: 157.0626200 25.5731366 8.689 1.600 1.200 6206.0 4.11 -0.12
 KELT-4 A b: 3.463 19.044 286.683 0.0432 2.98959 1821.9 0
>KELT-6: 195.9818362 30.6401450 9.083 1.730 1.420 6102.0 4.07 -0.28
 KELT-6 b: 5.892 14.572 165.272 0.0871 7.84570 1311.1 0
 KELT-6 c: nan nan 1179.149 2.3900 1276.00000 242.0 1
>KELT-7: 78.2955912 33.3179532 7.543 1.810 1.760 6768.0 4.50 0.00
 KELT-7 b: 3.215 17.934 441.784 0.0463 2.73477 2040.6 0
>KELT-8: 283.3054489 24.1272483 9.177 1.460 0.810 5754.0 4.08 0.27
 KELT-8 b: 3.466 18.159 209.768 0.0401 3.24406 1675.1 0
>KELT-9: 307.8598998 39.9389161 7.482 2.360 2.520 10170.0 4.09 -0.03
 KELT-9 b: 3.916 21.196 915.350 0.0346 1.48112 4049.0 0
>KIC 10001893: 287.3892308 46.9844491 16.612 nan nan 27500.0 5.35 nan
 KIC 10001893 b: nan nan nan nan 0.21970 nan 0
 KIC 10001893 c: nan nan nan nan 0.32528 nan 0
 KIC 10001893 d: nan nan nan nan 0.81161 nan 0
>KIC 10068024: 288.8470423 47.0228607 11.830 1.570 1.220 6118.4 4.09 0.01
 KIC 10068024 b: nan nan 635.657 0.0340 2.07355 2004.7 1
>KIC 10525077: 287.3781164 47.7711541 13.754 1.010 1.010 6091.0 4.42 -0.04
 KIC 10525077 b: nan 5.500 nan 1.1240 854.08300 278.4 0
>KIC 3526061: 285.1863974 38.6111112 7.776 5.860 1.420 4829.0 3.09 0.12
 KIC 3526061 b: nan nan 5768.586 5.1400 3552.00000 248.6 1
>KIC 3558849: 294.9498381 38.6051867 12.767 1.010 0.980 6175.0 4.44 -0.42
 KIC 3558849 b: nan 6.900 nan 2.7087 1322.30000 181.8 0
>KIC 5437945: 288.4749028 40.6512848 12.367 1.240 1.070 6340.0 4.16 -0.38
 KIC 5437945 b: 21.693 6.400 nan 0.9163 440.78130 355.6 0
 Kepler-460 c: 21.445 5.422 nan 0.7518 220.13034 383.7 0
>KIC 5479689: 299.3254983 40.6381229 11.937 0.890 0.970 5459.1 4.52 0.16
 KIC 5479689 b: nan nan 158.914 0.0276 1.70153 1494.5 1
>KIC 7917485: 299.4346094 43.6326069 12.111 nan 1.630 7067.0 4.00 -0.02
 KIC 7917485 b: nan nan 3750.394 2.0505 840.00000 nan 1
>KIC 8121913: 298.9677981 43.9093780 10.763 2.230 1.460 5975.3 3.90 0.25
 KIC 8121913 b: nan nan 667.440 0.0492 3.29460 1940.7 1
>KIC 9663113: 297.0454037 46.3286653 12.502 2.220 1.150 6117.2 3.81 0.14
 KIC 9663113 b: 26.649 9.928 nan 0.7353 572.38470 346.1 0
 Kepler-458 c: 10.385 4.200 nan 0.1548 20.74028 1117.1 0
>KMT-2016-BLG-0212L: 268.4392500 -29.0868889 nan nan 0.480 nan nan nan
 KMT-2016-BLG-0212L b: nan nan 5700.000 2.2000 1720.29128 nan 0
>KMT-2016-BLG-1105L: 266.4472500 -26.2663694 nan nan 0.410 nan nan nan
 KMT-2016-BLG-1105L b: nan nan 2.320 2.4400 2174.10941 nan 0
>KMT-2016-BLG-1107L: 266.4177500 -26.0318000 nan nan 0.090 nan nan nan
 KMT-2016-BLG-1107L b: nan nan 1043.000 0.3420 243.50422 nan 0
>KMT-2016-BLG-1397L: 272.6646120 -24.8577385 nan nan 0.450 nan nan nan
 KMT-2016-BLG-1397L b: nan nan 2200.000 5.1000 6271.01142 nan 0
>KMT-2016-BLG-1820L: 268.7647400 -29.5169201 nan nan 0.040 nan nan nan
 KMT-2016-BLG-1820L b: nan nan 1450.000 1.0800 2049.71851 nan 0
>KMT-2016-BLG-1836L: 268.2503330 -30.0407500 nan nan 0.490 nan nan nan
 KMT-2016-BLG-1836L b: nan nan 700.000 3.5000 3416.58800 nan 0
>KMT-2016-BLG-2142L: 268.1120000 -29.3845615 nan nan 0.070 nan nan nan
 KMT-2016-BLG-2142L b: nan nan 4923.000 0.8300 1043.89472 nan 0
>KMT-2016-BLG-2321L: 264.0579167 -25.5248806 nan nan 0.730 nan nan nan
 KMT-2016-BLG-2321L b: nan nan 301.937 3.5800 2895.68752 nan 0
>KMT-2016-BLG-2364L: 265.7156670 -27.4355611 nan nan 0.500 nan nan nan
 KMT-2016-BLG-2364L b: nan nan 1250.000 2.6300 2203.11519 nan 0
>KMT-2016-BLG-2397L: 266.2125420 -23.2013806 nan nan 0.640 nan nan nan
 KMT-2016-BLG-2397L b: nan nan 836.000 3.6400 3170.66729 nan 0
>KMT-2016-BLG-2605L: 269.8230833 -26.9820000 nan nan 0.060 nan nan nan
 KMT-2016-BLG-2605L b: nan nan 245.046 0.6810 837.97995 nan 0
>KMT-2017-BLG-0165L: 269.6496667 -28.1336694 nan nan 0.760 nan nan nan
 KMT-2017-BLG-0165L b: nan nan 34.000 3.4500 2684.79068 nan 0
>KMT-2017-BLG-0428L: 271.3852500 -28.4902806 nan nan 0.340 nan nan nan
 KMT-2017-BLG-0428L b: nan nan 5.590 1.8100 1525.34116 nan 0
>KMT-2017-BLG-0673L: 264.7570417 -33.8080278 nan nan 0.630 nan nan nan
 KMT-2017-BLG-0673L b: nan nan 1166.430 2.3400 1647.18393 nan 0
>KMT-2017-BLG-1003L: 265.4115000 -24.3739389 nan nan 0.320 nan nan nan
 KMT-2017-BLG-1003L b: nan nan 5.190 1.3800 1046.72410 nan 0
>KMT-2017-BLG-1038L: 266.1709170 -25.1430306 nan nan 0.370 nan nan nan
 KMT-2017-BLG-1038L b: nan nan 640.000 1.8000 1450.09508 nan 0
>KMT-2017-BLG-1146L: 269.1058330 -33.1424694 nan nan 0.330 nan nan nan
 KMT-2017-BLG-1146L b: nan nan 230.000 1.6000 1286.80159 nan 0
>KMT-2017-BLG-1194L: 274.3221250 -25.3239389 nan nan 0.410 nan nan nan
 KMT-2017-BLG-1194L b: nan nan 3.540 1.7800 1354.64862 nan 0
>KMT-2017-BLG-2509L: 265.5898750 -26.3171500 nan nan 0.460 nan nan nan
 KMT-2017-BLG-2509L b: nan nan 664.261 2.1400 1685.89425 nan 0
>KMT-2018-BLG-0029L: 264.4694580 -27.9847000 nan nan 1.140 nan nan nan
 KMT-2018-BLG-0029L b: nan nan 7.590 4.2700 3018.40820 nan 0
>KMT-2018-BLG-0030L: 264.5166667 -28.0416250 nan nan 0.510 nan nan nan
 KMT-2018-BLG-0030L b: nan nan 460.851 4.3900 4704.35706 nan 0
>KMT-2018-BLG-0087L: 264.3270000 -27.8320611 nan nan 0.100 nan nan nan
 KMT-2018-BLG-0087L b: nan nan 73.101 0.8700 937.27593 nan 0
>KMT-2018-BLG-0247L: 264.5600417 -27.1504111 nan nan 0.290 nan nan nan
 KMT-2018-BLG-0247L b: nan nan 670.618 2.4600 2616.93085 nan 0
>KMT-2018-BLG-0748L: 267.8745000 -30.6463889 nan nan 0.090 nan nan nan
 KMT-2018-BLG-0748L b: nan nan 60.000 0.6200 594.36724 nan 0
>KMT-2018-BLG-0885L: 268.9663333 -28.5133611 nan nan 0.290 nan nan nan
 KMT-2018-BLG-0885L b: nan nan 9217.024 1.0700 750.69799 nan 0
>KMT-2018-BLG-1025L: 269.8664167 -27.8780611 nan nan 0.220 nan nan nan
 KMT-2018-BLG-1025L b: nan nan 6.059 1.3050 1160.89519 nan 0
>KMT-2018-BLG-1292L: 263.4275830 -33.5206694 nan nan 1.090 nan nan nan
 KMT-2018-BLG-1292L b: nan nan 1400.000 6.0300 5180.25697 nan 0
>KMT-2018-BLG-1743L: 274.2833750 -26.3596389 nan nan 0.190 nan nan nan
 KMT-2018-BLG-1743L b: nan nan 77.868 1.4490 1461.55230 nan 0
>KMT-2018-BLG-1976L: 266.3546667 -35.7003306 nan nan 0.650 nan nan nan
 KMT-2018-BLG-1976L b: nan nan 705.579 3.5400 3017.42719 nan 0
>KMT-2018-BLG-1988L: 265.2825417 -35.5947000 nan nan 0.470 nan nan nan
 KMT-2018-BLG-1988L b: nan nan 5.560 3.0900 2893.85905 nan 0
>KMT-2018-BLG-1990L: 268.4353750 -22.1525389 nan nan 0.090 nan nan nan
 KMT-2018-BLG-1990L b: nan nan 111.000 0.7630 811.43575 nan 0
>KMT-2018-BLG-1996L: 268.6785000 -22.8204111 nan nan 0.690 nan nan nan
 KMT-2018-BLG-1996L b: nan nan 346.433 4.2700 3879.76885 nan 0
>KMT-2018-BLG-2602L: 267.3970417 -21.9762000 nan nan 0.660 nan nan nan
 KMT-2018-BLG-2602L b: nan nan 365.503 3.8100 3343.52119 nan 0
>KMT-2019-BLG-0253L: 267.8825833 -29.5654722 nan nan 0.700 nan nan nan
 KMT-2019-BLG-0253L b: nan nan 9.200 3.1000 2382.76990 nan 0
>KMT-2019-BLG-0297L: 270.0632917 -28.9652806 nan nan 0.210 nan nan nan
 KMT-2019-BLG-0297L b: nan nan 6038.740 0.9600 749.69702 nan 0
>KMT-2019-BLG-0298L: 264.8780000 -27.6381389 nan nan 0.700 nan nan nan
 KMT-2019-BLG-0298L b: nan nan 575.269 5.6700 5894.05457 nan 0
>KMT-2019-BLG-0335L: 262.8401250 -29.5906889 nan nan 0.320 nan nan nan
 KMT-2019-BLG-0335L b: nan nan 6674.397 1.6400 1356.06144 nan 0
>KMT-2019-BLG-0371L: 268.3839167 -31.5550222 nan nan 0.090 nan nan nan
 KMT-2019-BLG-0371L b: nan nan 2447.279 0.7900 854.88553 nan 0
>KMT-2019-BLG-0414L: 268.8529167 -21.8955389 nan nan 0.740 nan nan nan
 KMT-2019-BLG-0414L b: nan nan 1452.476 1.1600 530.46863 nan 0
>KMT-2019-BLG-0842L: 268.4584580 -29.8774389 nan nan 0.760 nan nan nan
 KMT-2019-BLG-0842L b: nan nan 10.280 3.3100 2523.03793 nan 0
>KMT-2019-BLG-0953L: 269.3385833 -28.6746389 nan nan 0.280 nan nan nan
 KMT-2019-BLG-0953L b: nan nan 15.500 1.1000 796.34012 nan 0
>KMT-2019-BLG-1042L: 270.5440417 -27.5806694 nan nan 0.300 nan nan nan
 KMT-2019-BLG-1042L b: nan nan 60.387 1.7000 1478.09157 nan 0
>KMT-2019-BLG-1216L: 268.4806250 -35.1366389 nan nan 0.390 nan nan nan
 KMT-2019-BLG-1216L b: nan nan 29.876 2.4400 2229.15887 nan 0
>KMT-2019-BLG-1339L: 265.7434170 -25.5739167 nan nan 0.480 nan nan nan
 KMT-2019-BLG-1339L b: nan nan 397.000 2.1500 1661.97947 nan 0
>KMT-2019-BLG-1367L: 272.4713333 -29.7622111 nan nan 0.250 nan nan nan
 KMT-2019-BLG-1367L b: nan nan 4.080 1.7000 1619.16819 nan 0
>KMT-2019-BLG-1552L: 269.5957917 -27.5669389 nan nan 0.790 nan nan nan
 KMT-2019-BLG-1552L b: nan nan 1287.205 2.6000 1722.80078 nan 0
>KMT-2019-BLG-1715L: 270.3717083 -28.7771389 nan nan 0.610 nan nan nan
 KMT-2019-BLG-1715L b: nan nan 813.641 3.3200 2828.98596 nan 0
>KMT-2019-BLG-1806L: 270.5375417 -29.4148889 nan nan 0.740 nan nan nan
 KMT-2019-BLG-1806L b: nan nan 4.670 3.0200 2228.34863 nan 0
>KMT-2019-BLG-1953L: 269.1162500 -28.2011111 nan nan 0.310 nan nan nan
 KMT-2019-BLG-1953L b: nan nan 200.000 nan nan nan 0
>KMT-2019-BLG-2783L: 269.2919167 -33.7885194 nan nan 0.340 nan nan nan
 KMT-2019-BLG-2783L b: nan nan 368.681 1.8500 1576.18329 nan 0
>KMT-2019-BLG-2974L: 267.8520833 -29.4231611 nan nan 0.470 nan nan nan
 KMT-2019-BLG-2974L b: nan nan 88.992 2.0000 1506.90075 nan 0
>KMT-2020-BLG-0414L: 271.9150000 -28.4852222 nan nan 0.260 nan nan nan
 KMT-2020-BLG-0414L b: nan nan 0.960 1.2600 1013.11263 nan 0
 KMT-2020-BLG-0414L c: nan nan 4894.557 0.1200 29.77651 nan 0
>KMT-2021-BLG-0119L: 274.0005417 -29.7438889 nan nan 0.560 nan nan nan
 KMT-2021-BLG-0119L b: nan nan 1754.413 2.9200 2435.39185 nan 0
>KMT-2021-BLG-0171L: 269.2416667 -30.0930556 nan nan 0.780 5200.0 nan nan
 KMT-2021-BLG-0171L b: nan nan 11.200 3.5000 2707.96689 nan 0
>KMT-2021-BLG-0192L: 268.1049583 -30.0086889 nan nan 0.270 nan nan nan
 KMT-2021-BLG-0192L b: nan nan 34.961 1.6200 1449.36985 nan 0
>KMT-2021-BLG-0240L: 267.5772917 -30.0049694 nan nan 0.560 nan nan nan
 KMT-2021-BLG-0240L b: nan nan 66.744 2.8000 2286.81808 nan 0
>KMT-2021-BLG-0320L: 269.3881250 -30.5039389 nan nan 0.320 nan nan nan
 KMT-2021-BLG-0320L b: nan nan 31.783 1.5400 1233.94180 nan 0
>KMT-2021-BLG-0322L: 270.9116667 -29.6043889 nan nan 0.620 nan nan nan
 KMT-2021-BLG-0322L b: nan nan 2034.102 nan nan nan 0
>KMT-2021-BLG-0712L: 269.2856667 -31.1844694 nan nan 0.220 nan nan nan
 KMT-2021-BLG-0712L b: nan nan 38.190 2.2200 2575.76778 nan 0
>KMT-2021-BLG-0748L: 272.4213333 -25.7465806 nan nan 0.360 nan nan nan
 KMT-2021-BLG-0748L b: nan nan 143.023 2.4300 2305.93332 nan 0
>KMT-2021-BLG-0909L: 265.6202083 -27.6391389 nan nan 0.380 nan nan nan
 KMT-2021-BLG-0909L b: nan nan 400.464 1.7500 1371.68333 nan 0
>KMT-2021-BLG-0912L: 269.8211667 -31.9976389 nan nan 0.800 nan nan nan
 KMT-2021-BLG-0912L b: nan nan 2.810 3.1400 2272.15557 nan 0
>KMT-2021-BLG-1077L: 266.4891250 -33.8428111 nan nan 0.140 nan nan nan
 KMT-2021-BLG-1077L b: nan nan 69.922 1.2600 1380.63979 nan 0
 KMT-2021-BLG-1077L c: nan nan 79.457 0.9300 875.48556 nan 0
>KMT-2021-BLG-1105L: 265.7322500 -25.5089111 nan nan 0.630 nan nan nan
 KMT-2021-BLG-1105L b: nan nan 413.177 3.5400 3064.94865 nan 0
>KMT-2021-BLG-1150L: 268.7901250 -31.3133306 nan nan 0.730 nan nan nan
 KMT-2021-BLG-1150L b: nan nan 279.689 4.5000 4080.80577 nan 0
>KMT-2021-BLG-1253L: 267.6172083 -29.2792806 nan nan 0.240 nan nan nan
 KMT-2021-BLG-1253L b: nan nan 19.050 1.5200 1397.16708 nan 0
>KMT-2021-BLG-1303L: 271.8638750 -29.2815806 nan nan 0.570 nan nan nan
 KMT-2021-BLG-1303L b: nan nan 120.775 2.8900 2376.82891 nan 0
>KMT-2021-BLG-1372L: 264.4885417 -28.1483889 nan nan 0.420 nan nan nan
 KMT-2021-BLG-1372L b: nan nan 61.270 2.3700 2056.29992 nan 0
>KMT-2021-BLG-1391L: 270.6835833 -28.0605000 nan nan 0.370 nan nan nan
 KMT-2021-BLG-1391L b: nan nan 4.550 2.2900 2080.85082 nan 0
>KMT-2021-BLG-1547L: 272.3995833 -29.0839389 nan nan 0.720 nan nan nan
 KMT-2021-BLG-1547L b: nan nan 467.208 4.5000 4109.04698 nan 0
>KMT-2021-BLG-1554L: 267.8034167 -31.8643611 nan nan 0.080 nan nan nan
 KMT-2021-BLG-1554L b: nan nan 38.139 0.7200 788.93702 nan 0
>KMT-2021-BLG-1689L: 269.5791667 -30.1452778 nan nan 0.580 4570.0 nan nan
 KMT-2021-BLG-1689L b: nan nan 46.000 2.5000 1895.76544 nan 0
>KMT-2021-BLG-1770L: 270.4399583 -27.4186694 nan nan 0.130 nan nan nan
 KMT-2021-BLG-1770L b: nan nan 6674.397 0.9000 864.92943 nan 0
>KMT-2021-BLG-1898L: 265.6918750 -27.3758389 nan nan 0.480 nan nan nan
 KMT-2021-BLG-1898L b: nan nan 232.015 1.9000 1380.69696 nan 0
>KMT-2021-BLG-2010L: 268.0085000 -32.2697500 nan nan 0.370 nan nan nan
 KMT-2021-BLG-2010L b: nan nan 340.076 1.7900 1438.02776 nan 0
>KMT-2021-BLG-2294L: 270.0624167 -28.6124389 nan nan 0.140 nan nan nan
 KMT-2021-BLG-2294L b: nan nan 22.248 1.1500 1203.84709 nan 0
>KMT-2021-BLG-2478L: 269.3092083 -29.1019694 nan nan 0.200 nan nan nan
 KMT-2021-BLG-2478L b: nan nan 286.046 1.8500 2055.09158 nan 0
>KMT-2022-BLG-0371L: 265.3619167 -34.6986694 nan nan 0.630 nan nan nan
 KMT-2022-BLG-0371L b: nan nan 82.635 3.0200 2415.06444 nan 0
>KMT-2022-BLG-0440L: 269.5835833 -32.2953056 nan nan 0.530 nan nan nan
 KMT-2022-BLG-0440L b: nan nan 15.400 1.9000 1313.95669 nan 0
>KMT-2022-BLG-1013L: 264.7092500 -28.3556694 nan nan 0.180 nan nan nan
 KMT-2022-BLG-1013L b: nan nan 98.527 1.3800 1395.63214 nan 0
>KMT-2023-BLG-0416L: 266.3240417 -25.0794889 nan nan 0.630 nan nan nan
 KMT-2023-BLG-0416L b: nan nan 13.031 2.9600 2343.45100 nan 0
>KMT-2023-BLG-0469L: 269.4067917 -28.7150611 nan nan 0.470 nan nan nan
 KMT-2023-BLG-0469L b: nan nan 39.411 2.3100 1870.49962 nan 0
>KMT-2023-BLG-0735L: 267.5759583 -29.2029194 nan nan 0.610 nan nan nan
 KMT-2023-BLG-0735L b: nan nan 38.775 2.9600 2381.55839 nan 0
>KMT-2023-BLG-1431L: 271.1835417 -29.7439194 nan nan 0.570 nan nan nan
 KMT-2023-BLG-1431L b: nan nan 13.600 3.2000 2769.33901 nan 0
>KMT-2023-BLG-1454L: 267.6200833 -29.6227500 nan nan 0.170 nan nan nan
 KMT-2023-BLG-1454L b: nan nan 200.232 1.1800 1135.49999 nan 0
>KMT-2023-BLG-1642L: 261.3660000 -29.0584694 nan nan 0.170 nan nan nan
 KMT-2023-BLG-1642L b: nan nan 343.255 1.4100 1483.17635 nan 0
>KMT-2023-BLG-1866L: 273.4822500 -28.4473889 nan nan 0.510 nan nan nan
